nome,tipo,indirizzo_stradale,comune,provincia,cap,lat,lon
"Locanda Buglioni","restaurant","Via Cariano","San Pietro in Cariano","Verona","37029","45.5115365","10.8624192"
"Pizzeria Italia","restaurant","Via Lavello","Verona","Verona","37125","45.4720945","10.9746413"
"Casa Rosa","restaurant","Via Pradelle","Verona","Verona","37142","45.481675","11.0433858"
"Cantina Del Sol","restaurant","Via dell'Orsa Maggiore","Sommacampagna","Verona","37066","45.4101022","10.8352284"
"Bacco Re","restaurant","Via Roma","Povegliano Veronese","Verona","37064","45.3448189","10.8819136"
"Da Umberto","restaurant","Via Imbarcadero","Castelletto","Verona","37010","45.687613","10.7497491"
"Taverna San Vigilio","restaurant","Via San Carlo","Garda","Verona","37016","45.5728935","10.6720862"
"Camporosso","restaurant","Via Campo Rosso","Colà","Verona","37017","45.4686195","10.7418991"
"Alle Querce","restaurant","Via Monte Mandion","Caprino Veronese","Verona","37013","45.5910891","10.7859067"
"SitoMato","restaurant","Via Venezia","Bardolino","Verona","37011","45.5565941","10.7178217"
"Hotel Ristorante Costabella","restaurant","Via degli Alpini","San Zeno di Montagna","Verona","37010","45.6318412","10.7259107"
"Autogrill","restaurant","Autostrada del Brennero","Sabbionara","Verona","38063","45.6949206","10.9166936"
"Area Servizio Povegliano Ovest","restaurant","Autostrada del Brennero","Nogarole Rocca","Verona","37060","45.2972181","10.8963283"
"La Littorina del Mincio","restaurant","Via Gardesana Nord","Valeggio sul Mincio","Verona","37067","45.4140652","10.7173929"
"Kappa2","restaurant","Contrada Cà Sartori","San Zeno di Montagna","Verona","37010","45.6369633","10.7319615"
"Gatto Moro","restaurant","Via Giotto","Valeggio sul Mincio","Verona","37067","45.3549362","10.7226658"
"La Vecchia Bottega","restaurant","Via Michelangelo Buonarroti","Valeggio sul Mincio","Verona","37067","45.3536246","10.7237531"
"Antica Locanda Mincio","restaurant","Via Michelangelo Buonarroti","Valeggio sul Mincio","Verona","37067","45.3535307","10.7237024"
"La Cantina","restaurant","Via Giotto","Valeggio sul Mincio","Verona","37067","45.3542748","10.7234627"
"Osteria Al Volto","restaurant","Via Giotto","Valeggio sul Mincio","Verona","37067","45.3541754","10.7236541"
"Osteria La Follia","restaurant","Corso Vittorio Emanuele Secondo","Villafranca di Verona","Verona","37062","45.3545042","10.8465593"
"l'Osteria","restaurant","Via Felice Cavallotti","Peschiera del Garda","Verona","37019","45.4390027","10.6922652"
"Il Forte Dei Cappuccini","restaurant","Via Puccini","Peschiera del Garda","Verona","37019","45.4442274","10.6837424"
"Arca","restaurant","Strada dell'Arca","Bardolino","Verona","37011","45.5610754","10.718469"
"Marc'Aurelio","restaurant","Via Fossalta","Colà","Verona","37017","45.4820939","10.725316"
"Porticciolo","restaurant","Peschiera - Lazise - BNF","Castelnuovo del Garda","Verona","37014","45.4526882","10.6980742"
"Corte Dal Castello","restaurant","Via Croce","Colà","Verona","37017","45.4713218","10.7423273"
"Pizzeria Fantasia","restaurant","Via Madonna","Colà","Verona","37017","45.4722907","10.7482904"
"Pizzeria Ai Testi","restaurant","Via Testi","Castelnuovo del Garda","Verona","37014","45.4413033","10.7585392"
"La Locanda delle Fornase","restaurant","Via Derna","Cavalcaselle","Verona","37014","45.4443915","10.7236043"
"Trattoria Lizzarola","restaurant","Viale Indipendenza","Peschiera del Garda","Verona","37019","45.4446114","10.6590374"
"La Cometa Azzurra","restaurant","Via Monte Pasubio","Peschiera del Garda","Verona","37019","45.4439771","10.7034679"
"Bar Jolly","restaurant","Via Pancera","Peschiera del Garda","Verona","37019","45.4422993","10.6969217"
"'In Chiostro', Ristorante & Lounge Bar","restaurant","Via Don Lenotti","Peschiera del Garda","Verona","37019","45.438222","10.6931914"
"Gistrò Cucina & Pizza","restaurant","Piazza Ferdinando di Savoia","Peschiera del Garda","Verona","37019","45.4382595","10.6950624"
"Al Canal","restaurant","Via Fontana","Peschiera del Garda","Verona","37019","45.4387243","10.6943034"
"Sugo e Basilico","restaurant","Viale della Repubblica","Peschiera del Garda","Verona","37019","45.4401027","10.6868881"
"Rock & Roll Restaurant","restaurant","Strada del Roccolo","Pacengo","Verona","37017","45.4788906","10.7278581"
"","restaurant","Str 1","Lazise","Verona","37017","45.4801365","10.7208185"
